fid,sub score,from_user_id,comments_count,created_date,likes_count,shares_count,to_user,brand,AF score
153740148098439_1329735387165570,,9,1,2018-12-19 08:34:00.000,9,0,153740148098439,similac,9.0
153740148098439_1330288310443611,0.0,99,20,2018-12-20 07:30:00.000,73,258,153740148098439,similac,99.0
153740148098439_1330368783768897,0.0,21,4,2018-12-22 01:00:00.000,14,5,153740148098439,enfa,21.0
153740148098439_1331068927032216,,15,8,2018-12-22 08:00:00.000,6,1,153740148098439,nan,15.0
153740148098439_1331582650314177,,18,6,2018-12-22 02:30:00.000,11,0,153740148098439,friso,18.0
153740148098439_1332538866885222,,12,1,2018-12-23 11:29:00.000,12,0,153740148098439,enfa,12.0
153740148098439_1333107816828327,,5,1,2018-12-24 14:00:00.000,4,0,153740148098439,nan,5.0
153740148098439_1333653730107069,,7,1,2018-12-24 17:00:00.000,7,0,153740148098439,enfa,7.0
153740148098439_1334458820026560,,10,2,2018-12-25 17:00:00.000,8,0,153740148098439,friso,10.0
153740148098439_1334524230020019,,11,3,2018-12-25 17:00:00.000,8,0,153740148098439,similac,11.0
153740148098439_1335122009960241,,16,5,2018-12-27 17:00:00.000,9,2,153740148098439,enfa,16.0
153740148098439_1335129063292869,,9,2,2018-12-28 17:00:00.000,8,1,153740148098439,enfa,9.0
153740148098439_1335136559958786,,104,16,2018-12-26 17:00:00.000,93,0,153740148098439,similac,104.0
153740148098439_1335155633290212,,6,0,2018-12-27 17:00:00.000,6,0,153740148098439,nan,6.0
153740148098439_1335990323206743,,15,5,2018-12-30 17:00:00.000,12,4,153740148098439,enfa,15.0
153740148098439_1336115356527573,,3,3,2018-12-28 17:00:00.000,0,0,153740148098439,enfa,3.0
153740148098439_1336119809860461,,2,2,2018-12-29 17:00:00.000,1,0,153740148098439,similac,2.0
153740148098439_1336124206526688,,21,9,2018-12-30 17:00:00.000,8,0,153740148098439,friso,21.0
153740148098439_1336124206526688,,21,9,2018-12-30 17:00:00.000,8,0,153740148098439,similac,21.0
1555427368058884_2263390590595888,0.0,769,134,2018-12-21 13:07:00.000,5291,19,1555427368058884,nan,769.0
157047117006_10155722012977007,0.0,44,2,2018-12-13 13:30:00.000,41,4,157047117006,friso,44.0
157047117006_10155726271192007,,48,0,2018-12-15 14:36:00.000,48,1,157047117006,nan,48.0
1629319941_10215743329089424,0.0,4311,63,2018-10-04 03:14:00.000,4454,11,1629319941,enfa,4311.0
1629319941_10216222645032023,0.0,504,7,2018-12-06 14:35:00.000,502,8,1629319941,enfa,504.0
1629319941_10216310854797212,0.0,401,6,2018-12-18 14:34:38.985,388,41,1629319941,nan,401.0
1736002153287053_2161435097410421,,40,14,2018-10-05 07:06:00.000,28,3,1736002153287053,optimum,40.0
1736002153287053_2199366650283932,,9,0,2018-12-09 03:23:00.000,9,0,1736002153287053,optimum,9.0
1736002153287053_2201566833397247,,344,26,2018-12-15 08:40:00.000,317,5,1736002153287053,optimum,344.0
1736002153287053_2201569230063674,,226,12,2018-12-15 09:20:00.000,211,2,1736002153287053,optimum,226.0
1736002153287053_2202159480004649,,15,4,2018-12-12 04:38:00.000,11,0,1736002153287053,optimum,15.0
1736002153287053_2203632819857315,,6,0,2018-12-14 10:10:00.000,6,0,1736002153287053,optimum,6.0
1736002153287053_2207798152774115,,269,24,2018-12-21 08:21:00.000,246,2,1736002153287053,optimum,269.0
1736002153287053_2207799109440686,0.0,442,32,2018-12-21 09:33:00.000,405,7,1736002153287053,optimum,442.0
1736002153287053_2212727255614538,,12,0,2018-12-29 05:00:00.000,12,0,1736002153287053,optimum,12.0
1748451012073433_1121281698022334,,2,0,2018-10-07 12:53:00.000,2,0,1748451012073433,enfa,2.0
1748451012073433_1121281698022334,,2,0,2018-10-07 12:53:00.000,2,0,1748451012073433,similac,2.0
1748451012073433_2115906785327852,,4,2,2018-10-01 06:01:00.000,2,0,1748451012073433,similac,4.0
1748451012073433_2119210981664099,,9,0,2018-10-08 06:31:00.000,9,0,1748451012073433,similac,9.0
1748451012073433_2119225028329361,,4,0,2018-10-08 07:26:00.000,4,0,1748451012073433,similac,4.0
1748451012073433_2119684214950109,,1,0,2018-10-09 06:25:00.000,1,0,1748451012073433,enfa,1.0
1748451012073433_2120587184859812,,3,0,2018-10-11 04:32:00.000,3,0,1748451012073433,enfa,3.0
1748451012073433_2120587184859812,,3,0,2018-10-11 04:32:00.000,3,0,1748451012073433,similac,3.0
1748451012073433_2121050644813466,,15,3,2018-10-12 03:19:00.000,12,0,1748451012073433,similac,15.0
1748451012073433_2121183708133493,,2,0,2018-10-12 10:34:00.000,2,0,1748451012073433,enfa,2.0
1748451012073433_2122811971304000,,3,0,2018-10-15 08:28:00.000,3,0,1748451012073433,similac,3.0
1748451012073433_2127492007502663,,20,2,2018-10-24 09:11:00.000,20,0,1748451012073433,enfa,20.0
1748451012073433_2127492007502663,,20,2,2018-10-24 09:11:00.000,20,0,1748451012073433,similac,20.0
1748451012073433_2130125237239340,,2,1,2018-10-29 13:15:00.000,1,0,1748451012073433,enfa,2.0
1748451012073433_2130636297188234,0.0,13,1,2018-10-30 14:54:00.000,12,2,1748451012073433,enfa,13.0
1748451012073433_2130636297188234,0.0,13,1,2018-10-30 14:54:00.000,12,2,1748451012073433,similac,13.0
1748451012073433_2131369200448277,,2,0,2018-11-01 03:04:00.000,2,0,1748451012073433,enfa,2.0
1748451012073433_2131369200448277,,2,0,2018-11-01 03:04:00.000,2,0,1748451012073433,similac,2.0
1748451012073433_2137725083146022,,7,6,2018-11-13 01:50:00.000,5,0,1748451012073433,similac,7.0
1748451012073433_2142383842680146,,4,0,2018-11-21 10:00:00.000,4,0,1748451012073433,similac,4.0
1748451012073433_2157758851142645,,5,0,2018-12-14 06:29:00.000,5,0,1748451012073433,enfa,5.0
1748451012073433_2157758851142645,,5,0,2018-12-14 06:29:00.000,5,0,1748451012073433,similac,5.0
1748451012073433_2157770247808172,,10,1,2018-12-14 07:02:00.000,9,0,1748451012073433,similac,10.0
1748451012073433_2158445634407300,,3,0,2018-12-15 10:13:00.000,3,0,1748451012073433,enfa,3.0
1748451012073433_2160315114220352,,7,0,2018-12-18 14:34:00.000,7,0,1748451012073433,enfa,7.0
1748451012073433_2160315114220352,,7,0,2018-12-18 14:34:00.000,7,0,1748451012073433,similac,7.0
1748451012073433_2160323704219493,,7,0,2018-12-18 14:52:00.000,7,0,1748451012073433,similac,7.0
1748451012073433_2160670074184856,,4,0,2018-12-19 04:30:00.000,4,0,1748451012073433,similac,4.0
1748451012073433_2160686817516515,,10,3,2018-12-19 05:15:00.000,7,0,1748451012073433,similac,10.0
1748451012073433_2160815727503624,,10,0,2018-12-19 10:40:00.000,10,0,1748451012073433,enfa,10.0
1748451012073433_2160815727503624,,10,0,2018-12-19 10:40:00.000,10,0,1748451012073433,similac,10.0
1748451012073433_2160865054165358,,4,0,2018-12-19 12:29:00.000,4,0,1748451012073433,similac,4.0
1748451012073433_2160878047497392,,7,3,2018-12-19 12:51:00.000,4,0,1748451012073433,enfa,7.0
1748451012073433_2161836407401556,,14,2,2018-12-21 03:12:00.000,12,0,1748451012073433,similac,14.0
1748451012073433_2162142014037662,,8,1,2018-12-21 15:50:00.000,7,0,1748451012073433,enfa,8.0
1748451012073433_2163395030579027,,8,1,2018-12-23 13:31:00.000,6,0,1748451012073433,enfa,8.0
1748451012073433_2163776343874229,,3,0,2018-12-24 05:58:00.000,3,0,1748451012073433,similac,3.0
1748451012073433_2163777793874084,0.0,6,1,2018-12-24 06:01:00.000,4,1,1748451012073433,similac,6.0
1748451012073433_2165152827069914,,4,0,2018-12-25 17:00:00.000,4,0,1748451012073433,enfa,4.0
1748451012073433_2165152827069914,,4,0,2018-12-25 17:00:00.000,4,0,1748451012073433,similac,4.0
1748451012073433_2165302720388258,,3,0,2018-12-25 17:00:00.000,3,0,1748451012073433,enfa,3.0
1748451012073433_2165303523721511,,6,1,2018-12-25 17:00:00.000,6,0,1748451012073433,similac,6.0
1748451012073433_2165616983690165,,6,4,2018-12-26 17:00:00.000,2,0,1748451012073433,similac,6.0
1748451012073433_2165618383690025,,12,4,2018-12-26 17:00:00.000,6,0,1748451012073433,enfa,12.0
1748451012073433_2165639757021221,0.0,5,1,2018-12-26 17:00:00.000,4,1,1748451012073433,similac,5.0
1794342963_10210108940158723,,199,3,2018-12-22 15:08:00.000,197,0,1794342963,similac,199.0
1797695590515780_1226389607500973,0.0,14,2,2018-10-01 04:00:00.000,12,3,1797695590515780,similac,14.0
